,year,value,metrics,classe
0,1985,0.9332074581071512,Overall Accuracy,All
1,1986,0.9338957386978152,Overall Accuracy,All
2,1987,0.9320733929403788,Overall Accuracy,All
3,1988,0.9302092469615336,Overall Accuracy,All
4,1989,0.9282612326707868,Overall Accuracy,All
5,1990,0.9276519267742204,Overall Accuracy,All
6,1991,0.928060861932032,Overall Accuracy,All
7,1992,0.927517451824604,Overall Accuracy,All
8,1993,0.9269923523757784,Overall Accuracy,All
9,1994,0.9268333472698386,Overall Accuracy,All
10,1995,0.927347211771591,Overall Accuracy,All
11,1996,0.9284579361097174,Overall Accuracy,All
12,1997,0.9290287483784576,Overall Accuracy,All
13,1998,0.92967180174146,Overall Accuracy,All
14,1999,0.9298054800250992,Overall Accuracy,All
15,2000,0.9303813346713498,Overall Accuracy,All
16,2001,0.930583416917419,Overall Accuracy,All
17,2002,0.9288372287494252,Overall Accuracy,All
18,2003,0.9281916007201776,Overall Accuracy,All
19,2004,0.9267465237058132,Overall Accuracy,All
20,2005,0.9276018099547512,Overall Accuracy,All
21,2006,0.928481596377966,Overall Accuracy,All
22,2007,0.9292005704219444,Overall Accuracy,All
23,2008,0.9294043624161074,Overall Accuracy,All
24,2009,0.9297163477677072,Overall Accuracy,All
25,2010,0.928127623845508,Overall Accuracy,All
26,2011,0.927122274961146,Overall Accuracy,All
27,2012,0.9282742972393798,Overall Accuracy,All
28,2013,0.9295443080544812,Overall Accuracy,All
29,2014,0.9296285364928112,Overall Accuracy,All
30,2015,0.9311191030251744,Overall Accuracy,All
31,2016,0.930386459084546,Overall Accuracy,All
32,2017,0.9312579957356076,Overall Accuracy,All
33,2018,0.9308685189236492,Overall Accuracy,All
34,2019,0.926501705747722,Overall Accuracy,All
35,2020,0.926238642208126,Overall Accuracy,All
36,2021,0.9242553191489362,Overall Accuracy,All
0,1985,0.98,Accuracy User,Forest
1,1985,0.11,Accuracy User,Shrubland
2,1985,0.56,Accuracy User,Wetland
3,1985,0.63,Accuracy User,Natural Grassland
4,1985,0.58,Accuracy User,Pastureland
5,1985,0.06,Accuracy User,Cropland
6,1985,0.89,Accuracy User,Water
7,1986,0.99,Accuracy User,Forest
