,classes,Total,Year
0,Forest,18589,1985
1,Shrubland,307,1985
2,Wetland,231,1985
3,Natural Grassland,691,1985
4,Pastureland,1043,1985
5,Cropland,16,1985
6,Water,308,1985
8,Forest,20265,1986
9,Shrubland,312,1986
10,Wetland,227,1986
11,Natural Grassland,747,1986
12,Pastureland,1205,1986
13,Cropland,18,1986
14,Water,341,1986
16,Forest,20508,1987
17,Shrubland,312,1987
18,Wetland,228,1987
19,Natural Grassland,769,1987
20,Pastureland,1404,1987
21,Cropland,20,1987
22,Water,358,1987
24,Forest,20672,1988
25,Shrubland,317,1988
26,Wetland,228,1988
27,Natural Grassland,782,1988
28,Pastureland,1561,1988
29,Cropland,21,1988
30,Water,362,1988
32,Forest,20568,1989
33,Shrubland,314,1989
34,Wetland,229,1989
35,Natural Grassland,783,1989
36,Pastureland,1664,1989
37,Cropland,23,1989
38,Water,367,1989
40,Forest,20495,1990
41,Shrubland,313,1990
42,Wetland,229,1990
43,Natural Grassland,782,1990
44,Pastureland,1716,1990
45,Cropland,25,1990
46,Water,366,1990
48,Forest,20444,1991
49,Shrubland,313,1991
50,Wetland,229,1991
51,Natural Grassland,785,1991
52,Pastureland,1760,1991
53,Cropland,25,1991
54,Water,367,1991
56,Forest,20335,1992
57,Shrubland,309,1992
58,Wetland,230,1992
59,Natural Grassland,783,1992
60,Pastureland,1872,1992
61,Cropland,29,1992
62,Water,365,1992
64,Forest,20214,1993
65,Shrubland,304,1993
66,Wetland,230,1993
67,Natural Grassland,780,1993
68,Pastureland,2001,1993
69,Cropland,30,1993
70,Water,370,1993
72,Forest,20080,1994
73,Shrubland,300,1994
74,Wetland,230,1994
75,Natural Grassland,781,1994
76,Pastureland,2126,1994
77,Cropland,31,1994
78,Water,370,1994
80,Forest,19957,1995
81,Shrubland,296,1995
82,Wetland,230,1995
83,Natural Grassland,779,1995
84,Pastureland,2253,1995
85,Cropland,37,1995
86,Water,370,1995
88,Forest,19857,1996
89,Shrubland,296,1996
90,Wetland,229,1996
91,Natural Grassland,774,1996
92,Pastureland,2342,1996
93,Cropland,42,1996
