,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total
Forest,19222,28,741,52,69,82,0,0,5,4,19977
Shrubland,71,31,16,76,102,18,0,0,13,0,95
Flooded Forest,136,2,162,47,8,0,0,0,0,15,1006
Wetland,8,3,28,132,29,0,0,0,0,29,619
Natural Grassland,24,8,26,263,433,8,0,0,5,21,733
Pastureland,477,21,28,31,65,1038,3,0,2,1,1173
Cropland,4,0,0,2,2,13,2,0,0,0,5
Bareland and Impervious,3,1,0,8,11,12,0,0,0,4,0
Rock Outcrop,15,1,0,0,11,1,0,0,6,1,31
Water,17,0,5,8,3,1,0,0,0,333,408
Total,40180,422,1376,848,1521,2839,28,39,66,775,24047
