,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water,Total,Accuracy User,Comission Error
Forest,18286.0,25.0,727.0,40.0,65.0,116.0,0.0,0,5.0,2.0,19266,0.95,0.05
Shrubland,55.0,32.0,16.0,72.0,100.0,15.0,0.0,0,13.0,2.0,305,0.1,0.9
Flooded Forest,137.0,1.0,161.0,39.0,9.0,4.0,0.0,0,0.0,19.0,370,0.44,0.56
Wetland,7.0,4.0,28.0,118.0,33.0,1.0,0.0,0,0.0,38.0,229,0.52,0.48
Natural Grassland,18.0,9.0,25.0,264.0,429.0,9.0,0.0,0,5.0,16.0,775,0.55,0.45
Pastureland,406.0,18.0,29.0,35.0,69.0,1977.0,5.0,0,2.0,0.0,2541,0.78,0.22
Cropland,7.0,2.0,0.0,2.0,8.0,28.0,8.0,0,0.0,0.0,55,0.15,0.85
Bareland and Impervious,5.0,2.0,0.0,6.0,14.0,21.0,0.0,0,0.0,2.0,50,0.0,1.0
Rock Outcrop,14.0,0.0,0.0,1.0,11.0,2.0,0.0,0,6.0,1.0,35,0.17,0.83
Water,14.0,0.0,6.0,13.0,5.0,1.0,0.0,0,0.0,333.0,372,0.9,0.1
Total,18949.0,93.0,992.0,590.0,743.0,2174.0,13.0,0,31.0,413.0,23998,,
Accuracy Producer,0.97,0.34,0.16,0.2,0.58,0.91,0.62,0,0.19,0.81,,,
Omission Error,0.03,0.66,0.84,0.8,0.42,0.09,0.38,0,0.81,0.19,,,
