,Forest,Shrubland,Flooded Forest,Wetland,Natural Grassland,Pastureland,Cropland,Bareland and Impervious,Rock Outcrop,Water
Forest,94.37,0.1,4.04,0.23,0.35,0.87,0.0,0.0,0.02,0.01
Shrubland,16.72,11.5,4.18,22.3,34.84,5.92,0.0,0.0,4.53,0.0
Flooded Forest,38.11,0.54,44.59,10.54,2.97,0.27,0.0,0.0,0.0,2.97
Wetland,3.49,2.18,10.48,59.83,10.48,0.44,0.0,0.0,0.0,13.1
Natural Grassland,2.09,0.92,3.14,32.81,58.04,0.78,0.0,0.0,0.65,1.57
Pastureland,10.22,0.65,0.88,0.9,2.03,84.08,1.13,0.0,0.08,0.03
Cropland,5.22,0.43,0.0,2.61,5.22,24.35,62.17,0.0,0.0,0.0
Bareland and Impervious,7.41,7.41,0.0,14.81,25.93,37.04,1.85,0.0,0.0,5.56
Rock Outcrop,41.18,0.0,0.0,2.94,32.35,2.94,0.0,0.0,17.65,2.94
Water,3.46,0.27,1.06,1.86,1.06,0.53,0.0,0.0,0.0,91.76
