,Accuracy User,Accuracy Producer,Precision,Recall,F1-Score,Comission Error,Omission Error
Forest,0.95,0.97,0.95,0.97,0.96,0.05,0.03
Shrubland,0.11,0.34,0.11,0.34,0.16,0.89,0.66
Flooded Forest,0.43,0.16,0.43,0.16,0.23,0.57,0.84
Wetland,0.58,0.23,0.58,0.23,0.33,0.42,0.77
Natural Grassland,0.57,0.58,0.57,0.58,0.58,0.43,0.42
Pastureland,0.81,0.91,0.81,0.91,0.85,0.19,0.09
Cropland,0.32,0.76,0.32,0.76,0.45,0.68,0.24
Bareland and Impervious,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Rock Outcrop,0.17,0.19,0.17,0.19,0.18,0.83,0.81
Water,0.91,0.87,0.91,0.87,0.89,0.09,0.13
