,year,value,metrics,classe
0,1985,0.8944671649508767,Overall Accuracy,All
1,1986,0.8941789822913525,Overall Accuracy,All
2,1987,0.8922180958811614,Overall Accuracy,All
3,1988,0.8900257882039764,Overall Accuracy,All
4,1989,0.88821890464507,Overall Accuracy,All
5,1990,0.8874136352285025,Overall Accuracy,All
6,1991,0.8879084287200832,Overall Accuracy,All
7,1992,0.8875384999583784,Overall Accuracy,All
8,1993,0.8871041571303733,Overall Accuracy,All
9,1994,0.8869738978393905,Overall Accuracy,All
10,1995,0.8874505723204995,Overall Accuracy,All
11,1996,0.8886807376878565,Overall Accuracy,All
12,1997,0.8889860868116304,Overall Accuracy,All
13,1998,0.8896574714559546,Overall Accuracy,All
14,1999,0.8897772225692275,Overall Accuracy,All
15,2000,0.8898647242455775,Overall Accuracy,All
16,2001,0.8900861172359279,Overall Accuracy,All
17,2002,0.8882876883376343,Overall Accuracy,All
18,2003,0.8874671779268953,Overall Accuracy,All
19,2004,0.8861049735273273,Overall Accuracy,All
20,2005,0.8870678510363235,Overall Accuracy,All
21,2006,0.8879245597930402,Overall Accuracy,All
22,2007,0.8886245042788562,Overall Accuracy,All
23,2008,0.8889120814895216,Overall Accuracy,All
24,2009,0.8892461891835456,Overall Accuracy,All
25,2010,0.8876911506643269,Overall Accuracy,All
26,2011,0.8866733550706463,Overall Accuracy,All
27,2012,0.8877691825214301,Overall Accuracy,All
28,2013,0.8889446605596687,Overall Accuracy,All
29,2014,0.8887537228910609,Overall Accuracy,All
30,2015,0.8902264500378819,Overall Accuracy,All
31,2016,0.8897657733699093,Overall Accuracy,All
32,2017,0.8910193865863488,Overall Accuracy,All
33,2018,0.8917130919220055,Overall Accuracy,All
34,2019,0.884853168469861,Overall Accuracy,All
35,2020,0.8836436453495803,Overall Accuracy,All
36,2021,0.8833244301994302,Overall Accuracy,All
0,1985,0.95,Accuracy User,Forest
1,1985,0.11,Accuracy User,Shrubland
2,1985,0.44,Accuracy User,Flooded Forest
3,1985,0.56,Accuracy User,Wetland
4,1985,0.63,Accuracy User,Natural Grassland
5,1985,0.57,Accuracy User,Pastureland
6,1985,0.06,Accuracy User,Cropland
7,1985,0.0,Accuracy User,Bareland and Impervious
8,1985,0.15,Accuracy User,Rock Outcrop
9,1985,0.89,Accuracy User,Water
10,1986,0.95,Accuracy User,Forest
11,1986,0.1,Accuracy User,Shrubland
12,1986,0.45,Accuracy User,Flooded Forest
13,1986,0.58,Accuracy User,Wetland
14,1986,0.58,Accuracy User,Natural Grassland
15,1986,0.59,Accuracy User,Pastureland
16,1986,0.11,Accuracy User,Cropland
17,1986,0.0,Accuracy User,Bareland and Impervious
18,1986,0.17,Accuracy User,Rock Outcrop
19,1986,0.89,Accuracy User,Water
20,1987,0.95,Accuracy User,Forest
21,1987,0.09,Accuracy User,Shrubland
22,1987,0.44,Accuracy User,Flooded Forest
23,1987,0.53,Accuracy User,Wetland
24,1987,0.56,Accuracy User,Natural Grassland
25,1987,0.61,Accuracy User,Pastureland
26,1987,0.1,Accuracy User,Cropland
27,1987,0.0,Accuracy User,Bareland and Impervious
28,1987,0.17,Accuracy User,Rock Outcrop
29,1987,0.91,Accuracy User,Water
30,1988,0.95,Accuracy User,Forest
31,1988,0.1,Accuracy User,Shrubland
32,1988,0.44,Accuracy User,Flooded Forest
33,1988,0.57,Accuracy User,Wetland
34,1988,0.54,Accuracy User,Natural Grassland
35,1988,0.63,Accuracy User,Pastureland
36,1988,0.05,Accuracy User,Cropland
37,1988,0.0,Accuracy User,Bareland and Impervious
38,1988,0.17,Accuracy User,Rock Outcrop
39,1988,0.9,Accuracy User,Water
40,1989,0.95,Accuracy User,Forest
41,1989,0.09,Accuracy User,Shrubland
42,1989,0.44,Accuracy User,Flooded Forest
43,1989,0.58,Accuracy User,Wetland
44,1989,0.55,Accuracy User,Natural Grassland
45,1989,0.62,Accuracy User,Pastureland
46,1989,0.09,Accuracy User,Cropland
47,1989,0.0,Accuracy User,Bareland and Impervious
48,1989,0.17,Accuracy User,Rock Outcrop
49,1989,0.91,Accuracy User,Water
50,1990,0.95,Accuracy User,Forest
51,1990,0.1,Accuracy User,Shrubland
52,1990,0.44,Accuracy User,Flooded Forest
53,1990,0.59,Accuracy User,Wetland
54,1990,0.57,Accuracy User,Natural Grassland
55,1990,0.61,Accuracy User,Pastureland
56,1990,0.12,Accuracy User,Cropland
